location,week,first_dose,second_dose,vaccine,white_prop,black_prop,asian_prop,hispanic_prop
Arkansas,2020-03-29,17200,0,janssen,0.721,0.152,0.016,0.078
Louisiana,2020-03-29,26600,0,janssen,0.588,0.319,0.017,0.052
New Mexico,2020-03-29,12100,0,janssen,0.367,0.017,0.016,0.495
Oklahoma,2020-03-29,22200,0,janssen,0.65,0.069,0.021,0.111
Texas,2020-03-29,153900,0,janssen,0.411,0.117,0.05,0.4
Iowa,2020-03-29,18100,0,janssen,0.853,0.039,0.023,0.063
Kansas,2020-03-29,16500,0,janssen,0.757,0.055,0.028,0.122
Missouri,2020-03-29,35200,0,janssen,0.794,0.112,0.021,0.043
Nebraska,2020-03-29,10900,0,janssen,0.785,0.048,0.024,0.113
Colorado,2020-03-29,32000,0,janssen,0.678,0.038,0.032,0.218
Montana,2020-03-29,6100,0,janssen,0.861,0.006,0.008,0.037
North Dakota,2020-03-29,4500,0,janssen,0.841,0.024,0.014,0.04
South Dakota,2020-03-29,5000,0,janssen,0.819,0.022,0.013,0.037
Utah,2020-03-29,16100,0,janssen,0.778,0.01,0.023,0.144
Wyoming,2020-03-29,3400,0,janssen,0.838,0.01,0.006,0.101
Arizona,2020-03-29,40000,0,janssen,0.542,0.043,0.033,0.318
California,2020-03-29,224600,0,janssen,0.364,0.053,0.147,0.395
Hawaii,2020-03-29,8400,0,janssen,0.204,0.012,0.394,0.103
Nevada,2020-03-29,16900,0,janssen,0.478,0.092,0.085,0.293
Alaska,2020-03-29,6300,0,janssen,0.6,0.022,0.06,0.07
Idaho,2020-03-29,9500,0,janssen,0.816,0.007,0.012,0.129
Oregon,2020-03-29,24200,0,janssen,0.75,0.018,0.047,0.134
Washington,2020-03-29,42800,0,janssen,0.675,0.038,0.089,0.13
Connecticut,2020-03-22,4200,0,janssen,0.657,0.1,0.046,0.169
Maine,2020-03-22,1600,0,janssen,0.932,0.014,0.011,0.017
Massachusetts,2020-03-22,8000,0,janssen,0.705,0.07,0.067,0.124
New Hampshire,2020-03-22,1600,0,janssen,0.898,0.013,0.026,0.039
Rhode Island,2020-03-22,1300,0,janssen,0.705,0.059,0.033,0.166
Vermont,2020-03-22,800,0,janssen,0.928,0.011,0.016,0.018
New Jersey,2020-03-22,10200,0,janssen,0.545,0.124,0.096,0.21
New York,2020-03-22,12900,0,janssen,0.552,0.14,0.086,0.193
Puerto Rico,2020-03-22,4000,0,janssen,0.013,0.001,0,0.982
Delaware,2020-03-22,1100,0,janssen,0.614,0.218,0.039,0.097
District of Columbia,2020-03-22,900,0,janssen,0.367,0.45,0.037,0.112
Maryland,2020-03-22,6900,0,janssen,0.499,0.296,0.064,0.106
Pennsylvania,2020-03-22,13000,0,janssen,0.76,0.104,0.035,0.078
Virginia,2020-03-22,9600,0,janssen,0.613,0.189,0.067,0.096
West Virginia,2020-03-22,2200,0,janssen,0.925,0.032,0.008,0.014
Alabama,2020-03-22,5600,0,janssen,0.654,0.265,0.014,0.044
Florida,2020-03-22,24100,0,janssen,0.53,0.15,0.027,0.266
Georgia,2020-03-22,11500,0,janssen,0.52,0.313,0.041,0.098
Kentucky,2020-03-22,5100,0,janssen,0.845,0.08,0.016,0.037
Mississippi,2020-03-22,3400,0,janssen,0.566,0.376,0.01,0.03
North Carolina,2020-03-22,11500,0,janssen,0.627,0.209,0.029,0.097
South Carolina,2020-03-22,5700,0,janssen,0.637,0.262,0.017,0.057
Tennessee,2020-03-22,7600,0,janssen,0.736,0.164,0.018,0.057
Illinois,2020-03-22,11500,0,janssen,0.609,0.136,0.056,0.176
Indiana,2020-03-22,7500,0,janssen,0.786,0.092,0.024,0.072
Michigan,2020-03-22,11400,0,janssen,0.749,0.134,0.032,0.053
Minnesota,2020-03-22,6300,0,janssen,0.791,0.064,0.049,0.056
Ohio,2020-03-22,13200,0,janssen,0.786,0.122,0.023,0.04
Wisconsin,2020-03-22,6700,0,janssen,0.811,0.062,0.03,0.071
Arkansas,2020-03-22,3400,0,janssen,0.721,0.152,0.016,0.078
Louisiana,2020-03-22,5200,0,janssen,0.588,0.319,0.017,0.052
New Mexico,2020-03-22,2400,0,janssen,0.367,0.017,0.016,0.495
Oklahoma,2020-03-22,4400,0,janssen,0.65,0.069,0.021,0.111
Texas,2020-03-22,30200,0,janssen,0.411,0.117,0.05,0.4
Iowa,2020-03-22,3600,0,janssen,0.853,0.039,0.023,0.063
Kansas,2020-03-22,3300,0,janssen,0.757,0.055,0.028,0.122
Missouri,2020-03-22,6900,0,janssen,0.794,0.112,0.021,0.043
Nebraska,2020-03-22,2200,0,janssen,0.785,0.048,0.024,0.113
Colorado,2020-03-22,6300,0,janssen,0.678,0.038,0.032,0.218
Montana,2020-03-22,1200,0,janssen,0.861,0.006,0.008,0.037
North Dakota,2020-03-22,900,0,janssen,0.841,0.024,0.014,0.04
South Dakota,2020-03-22,1000,0,janssen,0.819,0.022,0.013,0.037
Utah,2020-03-22,3200,0,janssen,0.778,0.01,0.023,0.144
Wyoming,2020-03-22,700,0,janssen,0.838,0.01,0.006,0.101
Arizona,2020-03-22,7900,0,janssen,0.542,0.043,0.033,0.318
California,2020-03-22,44000,0,janssen,0.364,0.053,0.147,0.395
Hawaii,2020-03-22,1700,0,janssen,0.204,0.012,0.394,0.103
Nevada,2020-03-22,3300,0,janssen,0.478,0.092,0.085,0.293
Alaska,2020-03-22,1300,0,janssen,0.6,0.022,0.06,0.07
Idaho,2020-03-22,1900,0,janssen,0.816,0.007,0.012,0.129
Oregon,2020-03-22,4800,0,janssen,0.75,0.018,0.047,0.134
Washington,2020-03-22,8400,0,janssen,0.675,0.038,0.089,0.13
Connecticut,2020-03-15,4200,0,janssen,0.657,0.1,0.046,0.169
Maine,2020-03-15,1600,0,janssen,0.932,0.014,0.011,0.017
Massachusetts,2020-03-15,8000,0,janssen,0.705,0.07,0.067,0.124
New Hampshire,2020-03-15,1600,0,janssen,0.898,0.013,0.026,0.039
Rhode Island,2020-03-15,1300,0,janssen,0.705,0.059,0.033,0.166
Vermont,2020-03-15,800,0,janssen,0.928,0.011,0.016,0.018
New Jersey,2020-03-15,10200,0,janssen,0.545,0.124,0.096,0.21
New York,2020-03-15,12900,0,janssen,0.552,0.14,0.086,0.193
Puerto Rico,2020-03-15,4000,0,janssen,0.013,0.001,0,0.982
Delaware,2020-03-15,1100,0,janssen,0.614,0.218,0.039,0.097
District of Columbia,2020-03-15,900,0,janssen,0.367,0.45,0.037,0.112
Maryland,2020-03-15,6900,0,janssen,0.499,0.296,0.064,0.106
Pennsylvania,2020-03-15,13000,0,janssen,0.76,0.104,0.035,0.078
Virginia,2020-03-15,9600,0,janssen,0.613,0.189,0.067,0.096
West Virginia,2020-03-15,2200,0,janssen,0.925,0.032,0.008,0.014
Alabama,2020-03-15,5600,0,janssen,0.654,0.265,0.014,0.044
Florida,2020-03-15,24100,0,janssen,0.53,0.15,0.027,0.266
Georgia,2020-03-15,11500,0,janssen,0.52,0.313,0.041,0.098
Kentucky,2020-03-15,5100,0,janssen,0.845,0.08,0.016,0.037
Mississippi,2020-03-15,3400,0,janssen,0.566,0.376,0.01,0.03
North Carolina,2020-03-15,11500,0,janssen,0.627,0.209,0.029,0.097
South Carolina,2020-03-15,5700,0,janssen,0.637,0.262,0.017,0.057
Tennessee,2020-03-15,7600,0,janssen,0.736,0.164,0.018,0.057
Illinois,2020-03-15,11500,0,janssen,0.609,0.136,0.056,0.176
Indiana,2020-03-15,7500,0,janssen,0.786,0.092,0.024,0.072
Michigan,2020-03-15,11400,0,janssen,0.749,0.134,0.032,0.053
Minnesota,2020-03-15,6300,0,janssen,0.791,0.064,0.049,0.056
Ohio,2020-03-15,13200,0,janssen,0.786,0.122,0.023,0.04
Wisconsin,2020-03-15,6700,0,janssen,0.811,0.062,0.03,0.071
Arkansas,2020-03-15,3400,0,janssen,0.721,0.152,0.016,0.078
Louisiana,2020-03-15,5200,0,janssen,0.588,0.319,0.017,0.052
New Mexico,2020-03-15,2400,0,janssen,0.367,0.017,0.016,0.495
Oklahoma,2020-03-15,4400,0,janssen,0.65,0.069,0.021,0.111
Texas,2020-03-15,30200,0,janssen,0.411,0.117,0.05,0.4
Iowa,2020-03-15,3600,0,janssen,0.853,0.039,0.023,0.063
Kansas,2020-03-15,3300,0,janssen,0.757,0.055,0.028,0.122
Missouri,2020-03-15,6900,0,janssen,0.794,0.112,0.021,0.043
Nebraska,2020-03-15,2200,0,janssen,0.785,0.048,0.024,0.113
Colorado,2020-03-15,6300,0,janssen,0.678,0.038,0.032,0.218
Montana,2020-03-15,1200,0,janssen,0.861,0.006,0.008,0.037
North Dakota,2020-03-15,900,0,janssen,0.841,0.024,0.014,0.04
South Dakota,2020-03-15,1000,0,janssen,0.819,0.022,0.013,0.037
Utah,2020-03-15,3200,0,janssen,0.778,0.01,0.023,0.144
Wyoming,2020-03-15,700,0,janssen,0.838,0.01,0.006,0.101
Arizona,2020-03-15,7900,0,janssen,0.542,0.043,0.033,0.318
California,2020-03-15,44000,0,janssen,0.364,0.053,0.147,0.395
Hawaii,2020-03-15,1700,0,janssen,0.204,0.012,0.394,0.103
Nevada,2020-03-15,3300,0,janssen,0.478,0.092,0.085,0.293
Alaska,2020-03-15,1300,0,janssen,0.6,0.022,0.06,0.07
Idaho,2020-03-15,1900,0,janssen,0.816,0.007,0.012,0.129
Oregon,2020-03-15,4800,0,janssen,0.75,0.018,0.047,0.134
Washington,2020-03-15,8400,0,janssen,0.675,0.038,0.089,0.13
Connecticut,2020-03-01,30200,0,janssen,0.657,0.1,0.046,0.169
Maine,2020-03-01,11500,0,janssen,0.932,0.014,0.011,0.017
Massachusetts,2020-03-01,58100,0,janssen,0.705,0.07,0.067,0.124
New Hampshire,2020-03-01,11600,0,janssen,0.898,0.013,0.026,0.039
Rhode Island,2020-03-01,9100,0,janssen,0.705,0.059,0.033,0.166
Vermont,2020-03-01,5400,0,janssen,0.928,0.011,0.016,0.018
New Jersey,2020-03-01,73600,0,janssen,0.545,0.124,0.096,0.21
New York,2020-03-01,93700,0,janssen,0.552,0.14,0.086,0.193
Puerto Rico,2020-03-01,28800,0,janssen,0.013,0.001,0,0.982
Delaware,2020-03-01,8000,0,janssen,0.614,0.218,0.039,0.097
District of Columbia,2020-03-01,6000,0,janssen,0.367,0.45,0.037,0.112
Maryland,2020-03-01,49600,0,janssen,0.499,0.296,0.064,0.106
Pennsylvania,2020-03-01,94600,0,janssen,0.76,0.104,0.035,0.078
Virginia,2020-03-01,69700,0,janssen,0.613,0.189,0.067,0.096
West Virginia,2020-03-01,15500,0,janssen,0.925,0.032,0.008,0.014
Alabama,2020-03-01,40100,0,janssen,0.654,0.265,0.014,0.044
Florida,2020-03-01,175100,0,janssen,0.53,0.15,0.027,0.266
Georgia,2020-03-01,83000,0,janssen,0.52,0.313,0.041,0.098
Kentucky,2020-03-01,36500,0,janssen,0.845,0.08,0.016,0.037
Mississippi,2020-03-01,24200,0,janssen,0.566,0.376,0.01,0.03
North Carolina,2020-03-01,83700,0,janssen,0.627,0.209,0.029,0.097
South Carolina,2020-03-01,41100,0,janssen,0.637,0.262,0.017,0.057
Tennessee,2020-03-01,54800,0,janssen,0.736,0.164,0.018,0.057
Illinois,2020-03-01,83100,0,janssen,0.609,0.136,0.056,0.176
Indiana,2020-03-01,53900,0,janssen,0.786,0.092,0.024,0.072
Michigan,2020-03-01,82700,0,janssen,0.749,0.134,0.032,0.053
Minnesota,2020-03-01,45200,0,janssen,0.791,0.064,0.049,0.056
Ohio,2020-03-01,96100,0,janssen,0.786,0.122,0.023,0.04
Wisconsin,2020-03-01,48000,0,janssen,0.811,0.062,0.03,0.071
Arkansas,2020-03-01,24400,0,janssen,0.721,0.152,0.016,0.078
Louisiana,2020-03-01,37900,0,janssen,0.588,0.319,0.017,0.052
New Mexico,2020-03-01,17200,0,janssen,0.367,0.017,0.016,0.495
Oklahoma,2020-03-01,31500,0,janssen,0.65,0.069,0.021,0.111
Texas,2020-03-01,219200,0,janssen,0.411,0.117,0.05,0.4
Iowa,2020-03-01,25600,0,janssen,0.853,0.039,0.023,0.063
Kansas,2020-03-01,23400,0,janssen,0.757,0.055,0.028,0.122
Missouri,2020-03-01,50100,0,janssen,0.794,0.112,0.021,0.043
Nebraska,2020-03-01,15500,0,janssen,0.785,0.048,0.024,0.113
Colorado,2020-03-01,45500,0,janssen,0.678,0.038,0.032,0.218
Montana,2020-03-01,8700,0,janssen,0.861,0.006,0.008,0.037
North Dakota,2020-03-01,6300,0,janssen,0.841,0.024,0.014,0.04
South Dakota,2020-03-01,7000,0,janssen,0.819,0.022,0.013,0.037
Utah,2020-03-01,22800,0,janssen,0.778,0.01,0.023,0.144
Wyoming,2020-03-01,4800,0,janssen,0.838,0.01,0.006,0.101
Arizona,2020-03-01,56800,0,janssen,0.542,0.043,0.033,0.318
California,2020-03-01,320100,0,janssen,0.364,0.053,0.147,0.395
Hawaii,2020-03-01,11900,0,janssen,0.204,0.012,0.394,0.103
Nevada,2020-03-01,24000,0,janssen,0.478,0.092,0.085,0.293
Alaska,2020-03-01,8900,0,janssen,0.6,0.022,0.06,0.07
Idaho,2020-03-01,13300,0,janssen,0.816,0.007,0.012,0.129
Oregon,2020-03-01,34400,0,janssen,0.75,0.018,0.047,0.134
Washington,2020-03-01,60900,0,janssen,0.675,0.038,0.089,0.13
Connecticut,2020-04-05,37400,37400,moderna,0.657,0.1,0.046,0.169
Maine,2020-04-05,14300,14300,moderna,0.932,0.014,0.011,0.017
Massachusetts,2020-04-05,72100,72100,moderna,0.705,0.07,0.067,0.124
New Hampshire,2020-04-05,14300,14300,moderna,0.898,0.013,0.026,0.039
Rhode Island,2020-04-05,11300,11300,moderna,0.705,0.059,0.033,0.166
Vermont,2020-04-05,6700,6700,moderna,0.928,0.011,0.016,0.018
New Jersey,2020-04-05,91300,91300,moderna,0.545,0.124,0.096,0.21
New York,2020-04-05,116300,116300,moderna,0.552,0.14,0.086,0.193
Puerto Rico,2020-04-05,35700,35700,moderna,0.013,0.001,0,0.982
Delaware,2020-04-05,9900,9900,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-04-05,7500,7500,moderna,0.367,0.45,0.037,0.112
Maryland,2020-04-05,61600,61600,moderna,0.499,0.296,0.064,0.106
Pennsylvania,2020-04-05,117500,117500,moderna,0.76,0.104,0.035,0.078
Virginia,2020-04-05,86500,86500,moderna,0.613,0.189,0.067,0.096
West Virginia,2020-04-05,19300,19300,moderna,0.925,0.032,0.008,0.014
Alabama,2020-04-05,49800,49800,moderna,0.654,0.265,0.014,0.044
Florida,2020-04-05,217400,217400,moderna,0.53,0.15,0.027,0.266
Georgia,2020-04-05,103000,103000,moderna,0.52,0.313,0.041,0.098
Kentucky,2020-04-05,45300,45300,moderna,0.845,0.08,0.016,0.037
Mississippi,2020-04-05,30000,30000,moderna,0.566,0.376,0.01,0.03
North Carolina,2020-04-05,103900,103900,moderna,0.627,0.209,0.029,0.097
South Carolina,2020-04-05,51000,51000,moderna,0.637,0.262,0.017,0.057
Tennessee,2020-04-05,68100,68100,moderna,0.736,0.164,0.018,0.057
Illinois,2020-04-05,103100,103100,moderna,0.609,0.136,0.056,0.176
Indiana,2020-04-05,66900,66900,moderna,0.786,0.092,0.024,0.072
Michigan,2020-04-05,102600,102600,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-04-05,56200,56200,moderna,0.791,0.064,0.049,0.056
Ohio,2020-04-05,119300,119300,moderna,0.786,0.122,0.023,0.04
Wisconsin,2020-04-05,59700,59700,moderna,0.811,0.062,0.03,0.071
Arkansas,2020-04-05,30200,30200,moderna,0.721,0.152,0.016,0.078
Louisiana,2020-04-05,47000,47000,moderna,0.588,0.319,0.017,0.052
New Mexico,2020-04-05,21400,21400,moderna,0.367,0.017,0.016,0.495
Oklahoma,2020-04-05,39200,39200,moderna,0.65,0.069,0.021,0.111
Texas,2020-04-05,272100,272100,moderna,0.411,0.117,0.05,0.4
Iowa,2020-04-05,31800,31800,moderna,0.853,0.039,0.023,0.063
Kansas,2020-04-05,29000,29000,moderna,0.757,0.055,0.028,0.122
Missouri,2020-04-05,62200,62200,moderna,0.794,0.112,0.021,0.043
Nebraska,2020-04-05,19200,19200,moderna,0.785,0.048,0.024,0.113
Colorado,2020-04-05,56500,56500,moderna,0.678,0.038,0.032,0.218
Montana,2020-04-05,10800,10800,moderna,0.861,0.006,0.008,0.037
North Dakota,2020-04-05,7800,7800,moderna,0.841,0.024,0.014,0.04
South Dakota,2020-04-05,8700,8700,moderna,0.819,0.022,0.013,0.037
Utah,2020-04-05,28300,28300,moderna,0.778,0.01,0.023,0.144
Wyoming,2020-04-05,5900,5900,moderna,0.838,0.01,0.006,0.101
Arizona,2020-04-05,70600,70600,moderna,0.542,0.043,0.033,0.318
California,2020-04-05,397400,397400,moderna,0.364,0.053,0.147,0.395
Hawaii,2020-04-05,14800,14800,moderna,0.204,0.012,0.394,0.103
Nevada,2020-04-05,29800,29800,moderna,0.478,0.092,0.085,0.293
Alaska,2020-04-05,0,0,moderna,0.6,0.022,0.06,0.07
Idaho,2020-04-05,16600,16600,moderna,0.816,0.007,0.012,0.129
Oregon,2020-04-05,42700,42700,moderna,0.75,0.018,0.047,0.134
Washington,2020-04-05,75700,75700,moderna,0.675,0.038,0.089,0.13
Connecticut,2020-03-29,35800,35800,moderna,0.657,0.1,0.046,0.169
Maine,2020-03-29,13700,13700,moderna,0.932,0.014,0.011,0.017
Massachusetts,2020-03-29,69000,69000,moderna,0.705,0.07,0.067,0.124
New Hampshire,2020-03-29,13700,13700,moderna,0.898,0.013,0.026,0.039
Rhode Island,2020-03-29,10800,10800,moderna,0.705,0.059,0.033,0.166
Vermont,2020-03-29,6500,6500,moderna,0.928,0.011,0.016,0.018
New Jersey,2020-03-29,87400,87400,moderna,0.545,0.124,0.096,0.21
New York,2020-03-29,111300,111300,moderna,0.552,0.14,0.086,0.193
Puerto Rico,2020-03-29,34200,34200,moderna,0.013,0.001,0,0.982
Delaware,2020-03-29,9500,9500,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-03-29,7200,7200,moderna,0.367,0.45,0.037,0.112
Maryland,2020-03-29,59000,59000,moderna,0.499,0.296,0.064,0.106
Pennsylvania,2020-03-29,112400,112400,moderna,0.76,0.104,0.035,0.078
Virginia,2020-03-29,82800,82800,moderna,0.613,0.189,0.067,0.096
West Virginia,2020-03-29,18500,18500,moderna,0.925,0.032,0.008,0.014
Alabama,2020-03-29,47700,47700,moderna,0.654,0.265,0.014,0.044
Florida,2020-03-29,208000,208000,moderna,0.53,0.15,0.027,0.266
Georgia,2020-03-29,98600,98600,moderna,0.52,0.313,0.041,0.098
Kentucky,2020-03-29,43400,43400,moderna,0.845,0.08,0.016,0.037
Mississippi,2020-03-29,28700,28700,moderna,0.566,0.376,0.01,0.03
North Carolina,2020-03-29,99500,99500,moderna,0.627,0.209,0.029,0.097
South Carolina,2020-03-29,48800,48800,moderna,0.637,0.262,0.017,0.057
Tennessee,2020-03-29,65200,65200,moderna,0.736,0.164,0.018,0.057
Illinois,2020-03-29,98700,98700,moderna,0.609,0.136,0.056,0.176
Indiana,2020-03-29,64100,64100,moderna,0.786,0.092,0.024,0.072
Michigan,2020-03-29,98200,98200,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-03-29,53800,53800,moderna,0.791,0.064,0.049,0.056
Ohio,2020-03-29,114100,114100,moderna,0.786,0.122,0.023,0.04
Wisconsin,2020-03-29,57100,57100,moderna,0.811,0.062,0.03,0.071
Arkansas,2020-03-29,28900,28900,moderna,0.721,0.152,0.016,0.078
Louisiana,2020-03-29,45000,45000,moderna,0.588,0.319,0.017,0.052
New Mexico,2020-03-29,20500,20500,moderna,0.367,0.017,0.016,0.495
Oklahoma,2020-03-29,37500,37500,moderna,0.65,0.069,0.021,0.111
Texas,2020-03-29,260400,260400,moderna,0.411,0.117,0.05,0.4
Iowa,2020-03-29,30400,30400,moderna,0.853,0.039,0.023,0.063
Kansas,2020-03-29,27800,27800,moderna,0.757,0.055,0.028,0.122
Missouri,2020-03-29,59500,59500,moderna,0.794,0.112,0.021,0.043
Nebraska,2020-03-29,18400,18400,moderna,0.785,0.048,0.024,0.113
Colorado,2020-03-29,54100,54100,moderna,0.678,0.038,0.032,0.218
Montana,2020-03-29,10400,10400,moderna,0.861,0.006,0.008,0.037
North Dakota,2020-03-29,7500,7500,moderna,0.841,0.024,0.014,0.04
South Dakota,2020-03-29,8300,8300,moderna,0.819,0.022,0.013,0.037
Utah,2020-03-29,27100,27100,moderna,0.778,0.01,0.023,0.144
Wyoming,2020-03-29,5700,5700,moderna,0.838,0.01,0.006,0.101
Arizona,2020-03-29,67600,67600,moderna,0.542,0.043,0.033,0.318
California,2020-03-29,380300,380300,moderna,0.364,0.053,0.147,0.395
Hawaii,2020-03-29,14200,14200,moderna,0.204,0.012,0.394,0.103
Nevada,2020-03-29,28500,28500,moderna,0.478,0.092,0.085,0.293
Alaska,2020-03-29,52500,52500,moderna,0.6,0.022,0.06,0.07
Idaho,2020-03-29,15800,15800,moderna,0.816,0.007,0.012,0.129
Oregon,2020-03-29,40800,40800,moderna,0.75,0.018,0.047,0.134
Washington,2020-03-29,72400,72400,moderna,0.675,0.038,0.089,0.13
Connecticut,2020-03-22,35800,35800,moderna,0.657,0.1,0.046,0.169
Maine,2020-03-22,13700,13700,moderna,0.932,0.014,0.011,0.017
Massachusetts,2020-03-22,69000,69000,moderna,0.705,0.07,0.067,0.124
New Hampshire,2020-03-22,13700,13700,moderna,0.898,0.013,0.026,0.039
Rhode Island,2020-03-22,10800,10800,moderna,0.705,0.059,0.033,0.166
